名称,信息
千仞雪,主角，武魂殿少主
敖晨曦,主角本体，化名
千仞雪原身,
千仞雪本体,
千道流,主角爷爷，武魂殿大供奉
千寻疾,主角父亲，武魂殿教皇
金鳄斗罗,武魂殿二供奉
金鳄供奉,武魂殿二供奉
青鸾斗罗,武魂殿三供奉
青鸾供奉,武魂殿三供奉
雄狮斗罗,武魂殿四供奉
雄狮供奉,武魂殿四供奉
光翎斗罗,武魂殿五供奉
光翎供奉,武魂殿五供奉
千钧斗罗,武魂殿六供奉
千钧供奉,武魂殿六供奉
降魔斗罗,武魂殿七供奉
降魔供奉,武魂殿七供奉
月关,武魂殿长老
菊斗罗,
鬼魅,武魂殿长老
鬼斗罗,
佘龙,武魂殿长老
蛇矛斗罗,
刺血,武魂殿长老
刺豚斗罗,
魔熊斗罗,武魂殿长老
鬼豹斗罗,武魂殿长老
灵鸢斗罗,武魂殿长老
比比东,主角母亲，武魂殿圣女
天使神,
海神,
修罗神,
罗刹神,
食神,
九彩女神,
唐昊,唐三父亲，唐晨孙子，昊天宗直系子弟，拥有杀神领域，武魂昊天锤
唐三,原主角，武魂蓝银皇、昊天锤
唐晨,唐三的曾祖父，天赋异禀，创造了昊天九绝，炸环，大须弥锤等强大的自创魂技，九十九级，修罗神考失败，被困在杀戮之都
唐啸,唐三的叔叔
敖渊,瀚海城武魂殿主教
阿银,唐三的母亲
泰坦,力之一族族长
泰诺,泰坦的儿子
泰岳,力之一族旁系首领
牛皋,御之一族族长
白鹤,敏之一族族长
杨无敌,破之一族族长
杨无双,杨无敌的弟弟
白沉香,白鹤的孙女
楼高,铁匠协会会长
伟小明,诺丁城武魂殿分殿门卫
成志勇,诺丁城武魂殿分殿门卫
素云涛,
马修诺,
玉小刚,
大师,
柳二龙,
弗兰德,
赵无极,
李郁松,武魂龙纹棍
邵鑫,糖豆
天钥,
叶泠泠,
胡列娜,
张萍,
炎,
邪月,
咲夜,
千古南无,
陆晓明,
牟刚,
楚羽,
玉琲,
