名称,信息
武魂殿,主角势力，天使神传承之地
天斗帝国,斗罗大陆两大帝国之一，位于北面
天斗城,天都帝国首都
法斯诺行省,
诺丁城,
圣魂村,
星罗帝国,斗罗大陆两大帝国之一，位于南面
星罗城,星罗帝国首都
海神岛,海神传承之地
杀戮之都,罗刹神和修罗神传承之地
七宝琉璃宗,
蓝电霸王宗,
昊天宗,
神界,斗罗神明所在的亚空间
武魂城,武魂殿的主城
武魂殿圣殿,首都
圣殿,
武魂殿主殿,大城市
主殿,
武魂殿子殿,中等城市
子殿,
武魂殿分殿,小城市
分殿,
武魂殿银行,
银行,
武魂殿邮局,
邮局,
武魂殿报社,
报社,
武魂殿监察团,
监察团,
武魂殿工业部,
工业部,
武魂殿交通部,
交通部,
供奉殿,武魂殿供奉所在
教皇殿,武魂殿属于教皇的机关
斗罗殿,武魂殿机关，斗罗墓地
瀚海城,斗罗大陆距离海神岛最近的海边城市
冰火两仪眼,水火龙王陨落之地形成的宝地，植物生长速度可达十倍，记录在玄天宝录中
乾坤问情谷,爱神秘境，为修罗神和唐三前后掌控，记录在玄天宝录中
龙谷,龙族埋骨之地，一个亚空间，存在于斗罗星另外一块大陆
龙墓,龙族坟墓，存在于龙谷之中
唐门,唐三前世的所属势力，唐三在斗罗大陆也建立了一个唐门
力之一族,原昊天宗附属四宗之一，族长泰坦对唐昊死忠
御之一族,原昊天宗附属四宗之一，族长牛皋
敏之一族,原昊天宗附属四宗之一，族长白鹤
破之一族,原昊天宗附属四宗之一，族长杨无敌
庚辛城,
日月大陆,
九芯海棠家族,由于九芯海棠武魂一脉单传的特性，叶家人口稀少
